image_filename,super_category,fine_category,x_center,y_center,width,height,rotation_angle
a036546.jpg,noise,none,0.988439,0.958542,0.023121,0.026250,90
a036659.jpg,noise,none,0.474265,0.033333,0.051471,0.030833,180
a073144.jpg,noise,none,0.080000,0.954623,0.040000,0.047374,0
a073350.jpg,noise,none,0.930000,0.035817,0.059167,0.061318,180
a073438.jpg,noise,none,0.992865,0.971667,0.014269,0.030000,90
a074470.jpg,noise,none,0.027515,0.026875,0.055031,0.044583,180
a074506.jpg,noise,none,0.031250,0.013542,0.050332,0.027083,180
a074645.jpg,noise,none,0.025270,0.035208,0.050539,0.043750,180
a074645.jpg,noise,none,0.056218,0.059583,0.049972,0.027500,90
a135237.jpg,noise,none,0.027500,0.514048,0.045833,0.028096,90
a135237.jpg,noise,none,0.013958,0.515768,0.027917,0.031537,90
a135237.jpg,noise,none,0.029583,0.987385,0.040833,0.025229,0
a135730.jpg,noise,none,0.485219,0.077708,0.028994,0.044583,0
a135817.jpg,noise,none,0.012419,0.022500,0.024837,0.032500,180
b022632.jpg,noise,none,0.484475,0.091250,0.031049,0.017500,0
b022832.jpg,noise,none,0.988542,0.018066,0.022917,0.036131,270
b023058.jpg,noise,none,0.968542,0.039307,0.029583,0.030236,0
b023079.jpg,noise,none,0.044843,0.031042,0.038117,0.026250,0
b052161.jpg,noise,none,0.013333,0.014167,0.026667,0.028333,180
b052161.jpg,noise,none,0.018889,0.004792,0.037778,0.009583,180
b054963.jpg,noise,none,0.940833,0.010609,0.046667,0.021217,180
b054963.jpg,noise,none,0.927083,0.006979,0.034167,0.013959,180
b054963.jpg,noise,none,0.950417,0.006421,0.031667,0.012842,180
b061086.jpg,noise,none,0.022500,0.790762,0.040833,0.037841,90
b061086.jpg,noise,none,0.017083,0.743461,0.029167,0.033389,90
b062917.jpg,noise,none,0.987292,0.022185,0.025417,0.044370,270
b062917.jpg,noise,none,0.985000,0.343317,0.030000,0.047698,270
b062917.jpg,noise,none,0.924583,0.492790,0.049167,0.013866,0
b065994.jpg,noise,none,0.968958,0.029642,0.055417,0.048098,270
b066130.jpg,noise,none,0.045000,0.547419,0.031667,0.034231,90
b066424.jpg,noise,none,0.013619,0.012708,0.027237,0.025417,180
b069798.jpg,noise,none,0.023958,0.507267,0.027917,0.015092,90
b069800.jpg,noise,none,0.013125,0.506704,0.026250,0.013408,90
b074268.jpg,noise,none,0.048573,0.027917,0.035675,0.025833,0
b088627.jpg,noise,none,0.143449,0.032917,0.050304,0.035000,180
b088627.jpg,noise,none,0.021006,0.005000,0.042012,0.010000,0
b088627.jpg,noise,none,0.305970,0.093542,0.055832,0.012917,0
b093887.jpg,noise,none,0.971458,0.103064,0.040417,0.044568,270
b222948.jpg,noise,none,0.088958,0.876659,0.022083,0.046460,180
b238949.jpg,noise,none,0.970625,0.489221,0.020417,0.021006,0
b238949.jpg,noise,none,0.976042,0.007186,0.040417,0.014373,0
b239187.jpg,noise,none,0.031667,0.973209,0.019167,0.028431,0
a017150.jpg,noise,none,0.485417,0.623771,0.035833,0.050318,0
a017169.jpg,noise,none,0.118126,0.969167,0.066779,0.038333,0
a017169.jpg,noise,none,0.886644,0.969167,0.075196,0.046667,0
a017169.jpg,noise,none,0.228114,0.904583,0.049944,0.042500,0
a017169.jpg,noise,none,0.145903,0.492083,0.048260,0.035833,0
a017346.jpg,noise,none,0.416875,0.022949,0.038750,0.043603,180
a017346.jpg,noise,none,0.511458,0.022375,0.036250,0.040161,0
a017346.jpg,noise,none,0.438125,0.022375,0.033750,0.040161,180
a017601.jpg,noise,none,0.225457,0.964375,0.082192,0.052917,0
a017601.jpg,noise,none,0.835046,0.962292,0.073059,0.053750,0
a017601.jpg,noise,none,0.222603,0.029375,0.069635,0.045417,180
a017601.jpg,noise,none,0.833619,0.023958,0.045091,0.029583,180
a017601.jpg,noise,none,0.917237,0.972083,0.054795,0.034167,0
a018923.jpg,noise,none,0.961938,0.968542,0.054210,0.038750,0
a018923.jpg,noise,none,0.080450,0.032500,0.054787,0.035833,180
a018923.jpg,noise,none,0.117070,0.030208,0.054210,0.035417,180
a018925.jpg,noise,none,0.956471,0.974792,0.056878,0.042083,0
a018925.jpg,noise,none,0.048752,0.975417,0.068485,0.046667,0
a019983.jpg,noise,none,0.057083,0.921646,0.033333,0.051860,90
a028390.jpg,noise,none,0.161318,0.973750,0.073926,0.045833,90
a028390.jpg,noise,none,0.118625,0.053958,0.053868,0.034583,180
a029912.jpg,noise,none,0.008750,0.980035,0.017500,0.039931,90
a029912.jpg,noise,none,0.026458,0.020544,0.033750,0.041088,180
a029925.jpg,noise,none,0.972917,0.886929,0.030833,0.054945,0
a029927.jpg,noise,none,0.011042,0.946305,0.022083,0.075058,90
a036079.jpg,noise,none,0.072254,0.991250,0.053179,0.017500,0
a036627.jpg,noise,none,0.079895,0.016667,0.045904,0.033333,180
a036627.jpg,noise,none,0.114178,0.016875,0.056363,0.033750,180
a036627.jpg,noise,none,0.069146,0.032500,0.042998,0.031667,0
a036627.jpg,noise,none,0.043289,0.014583,0.048228,0.029167,0
a036628.jpg,noise,none,0.043129,0.017708,0.052945,0.034583,180
a036789.jpg,noise,none,0.013897,0.088542,0.027793,0.046250,0
a036880.jpg,noise,none,0.811730,0.965625,0.056305,0.033750,0
a036888.jpg,noise,none,0.009375,0.105371,0.018750,0.068301,90
a036895.jpg,noise,none,0.129651,0.992708,0.060103,0.014583,0
a036895.jpg,noise,none,0.216943,0.991250,0.059531,0.017500,0
a036895.jpg,noise,none,0.163423,0.990417,0.058958,0.019167,0
a036895.jpg,noise,none,0.241557,0.990833,0.062965,0.018333,0
a036895.jpg,noise,none,0.083858,0.991875,0.065827,0.016250,0
a036895.jpg,noise,none,0.963080,0.012708,0.048655,0.025417,180
a046171.jpg,noise,none,0.970402,0.868125,0.059195,0.051250,270
a046172.jpg,noise,none,0.980000,0.113750,0.040000,0.038333,270
a046172.jpg,noise,none,0.954286,0.141042,0.054857,0.041250,270
a046447.jpg,noise,none,0.981042,0.912839,0.037917,0.084671,270
a070276.jpg,noise,none,0.865283,0.030625,0.052016,0.034583,180
a070276.jpg,noise,none,0.173875,0.049792,0.073057,0.039583,180
a070276.jpg,noise,none,0.985681,0.971042,0.028638,0.033750,0
a070391.jpg,noise,none,0.980000,0.028647,0.040000,0.047844,270
a073150.jpg,noise,none,0.034702,0.052292,0.046270,0.035417,90
a073156.jpg,noise,none,0.036047,0.925417,0.059302,0.043333,90
a073199.jpg,noise,none,0.073125,0.937899,0.032917,0.041788,0
a073199.jpg,noise,none,0.970417,0.022635,0.041667,0.045270,270
a073199.jpg,noise,none,0.016667,0.988973,0.033333,0.022055,0
a073239.jpg,noise,none,0.961387,0.976458,0.046787,0.032083,270
a073250.jpg,noise,none,0.957083,0.025952,0.036667,0.043829,180
a073269.jpg,noise,none,0.980313,0.965833,0.039375,0.033333,0
a073305.jpg,noise,none,0.965208,0.047175,0.045417,0.047758,0
a073420.jpg,noise,none,0.968750,0.938770,0.041667,0.056297,270
a073420.jpg,noise,none,0.973125,0.899013,0.040417,0.063842,270
a073420.jpg,noise,none,0.012500,0.986651,0.025000,0.026698,0
a073420.jpg,noise,none,0.967708,0.844748,0.056250,0.080673,270
a073435.jpg,noise,none,0.257708,0.192556,0.031250,0.042790,0
a073435.jpg,noise,none,0.009792,0.013775,0.019583,0.027550,0
a073951.jpg,noise,none,0.070896,0.030417,0.044202,0.031667,180
a074101.jpg,noise,none,0.936086,0.023542,0.050905,0.029583,180
a074109.jpg,noise,none,0.025625,0.093382,0.051250,0.071228,90
a074137.jpg,noise,none,0.968362,0.955625,0.045198,0.031250,0
a074251.jpg,noise,none,0.126503,0.968125,0.064110,0.037917,0
a074263.jpg,noise,none,0.849943,0.052708,0.053837,0.037083,180
a074318.jpg,noise,none,0.986079,0.970208,0.027842,0.036250,270
a074318.jpg,noise,none,0.012181,0.951667,0.024362,0.052500,0
a074318.jpg,noise,none,0.967227,0.916250,0.046984,0.035000,270
a074344.jpg,noise,none,0.057292,0.910725,0.032083,0.045217,90
a074347.jpg,noise,none,0.974030,0.976667,0.047374,0.035000,180
a074460.jpg,noise,none,0.962953,0.033750,0.065181,0.050833,270
a074460.jpg,noise,none,0.012813,0.986667,0.025627,0.026667,0
a074543.jpg,noise,none,0.026670,0.022500,0.053341,0.045000,90
a074543.jpg,noise,none,0.968557,0.032292,0.062886,0.051250,270
a074543.jpg,noise,none,0.953116,0.985208,0.052218,0.029583,0
a074645.jpg,noise,none,0.085747,0.969583,0.048836,0.036667,0
a074645.jpg,noise,none,0.052527,0.978750,0.045997,0.034167,90
a074645.jpg,noise,none,0.027541,0.044792,0.045997,0.037083,270
a074645.jpg,noise,none,0.123509,0.968542,0.049404,0.037083,0
a074699.jpg,noise,none,0.040240,0.972500,0.069064,0.050833,90
a074699.jpg,noise,none,0.033105,0.022708,0.066210,0.045417,90
a074699.jpg,noise,none,0.073916,0.966250,0.061073,0.041667,180
a074721.jpg,noise,none,0.039615,0.978125,0.064516,0.043750,90
a074775.jpg,noise,none,0.954155,0.980000,0.057307,0.035833,270
a074775.jpg,noise,none,0.974499,0.970208,0.051003,0.047083,270
a074775.jpg,noise,none,0.120917,0.964167,0.073352,0.049167,0
a108101.jpg,noise,none,0.336250,0.768898,0.034167,0.051356,0
a108103.jpg,noise,none,0.020880,0.853542,0.041761,0.053750,90
a108103.jpg,noise,none,0.022291,0.168750,0.044582,0.055833,90
a108104.jpg,noise,none,0.020489,0.824375,0.040979,0.057083,90
a108104.jpg,noise,none,0.026750,0.185625,0.053500,0.056250,90
a108104.jpg,noise,none,0.980933,0.856250,0.038133,0.055000,270
a108104.jpg,noise,none,0.912351,0.991042,0.052362,0.017917,0
a108123.jpg,noise,none,0.905417,0.981354,0.050000,0.037292,0
a108123.jpg,noise,none,0.148333,0.018646,0.050000,0.037292,180
a108140.jpg,noise,none,0.017664,0.859792,0.035328,0.051250,90
a108140.jpg,noise,none,0.174074,0.032500,0.047293,0.031667,180
a108469.jpg,noise,none,0.971682,0.945000,0.056635,0.055833,270
a108469.jpg,noise,none,0.022488,0.963750,0.044975,0.053333,90
a108469.jpg,noise,none,0.016935,0.052083,0.033870,0.049167,270
a108469.jpg,noise,none,0.023043,0.062500,0.046086,0.035833,90
a108469.jpg,noise,none,0.980289,0.043542,0.039423,0.042917,270
a108487.jpg,noise,none,0.932773,0.991458,0.068427,0.017083,0
a108580.jpg,noise,none,0.016667,0.106257,0.033333,0.083991,90
a108580.jpg,noise,none,0.013333,0.125423,0.026667,0.050169,90
a108672.jpg,noise,none,0.923098,0.941458,0.051638,0.041250,270
a108685.jpg,noise,none,0.905272,0.029583,0.048088,0.034167,180
a135242.jpg,noise,none,0.015927,0.965417,0.031854,0.050000,90
a135242.jpg,noise,none,0.978953,0.968542,0.042093,0.055417,270
a135242.jpg,noise,none,0.023606,0.020208,0.047213,0.040417,90
a135242.jpg,noise,none,0.979238,0.032500,0.041524,0.065000,270
a135587.jpg,noise,none,0.592382,0.981250,0.053439,0.037500,0
a135599.jpg,noise,none,0.023333,0.824477,0.039167,0.069531,90
