bandwidth,threshold,ratio,recall,fn_count,fp_count
15,40,0.84,1.0,0,2
15,38,0.8,1.0,0,2
15,38,0.8200000000000001,1.0,0,2
15,38,0.84,1.0,0,2
10,46,0.88,1.0,0,2
10,42,0.86,1.0,0,2
10,40,0.84,1.0,0,2
10,40,0.86,1.0,0,2
10,38,0.8,1.0,0,2
10,38,0.8200000000000001,1.0,0,2
5,46,0.88,1.0,0,2
5,44,0.86,1.0,0,2
5,44,0.88,1.0,0,2
5,42,0.86,1.0,0,2
5,40,0.8200000000000001,1.0,0,2
5,40,0.84,1.0,0,2
5,40,0.86,1.0,0,2
5,38,0.8,1.0,0,2
5,38,0.8200000000000001,1.0,0,2
20,44,0.76,1.0,0,3
20,44,0.78,1.0,0,3
20,44,0.8,1.0,0,3
20,42,0.76,1.0,0,3
20,42,0.78,1.0,0,3
20,42,0.8,1.0,0,3
20,40,0.74,1.0,0,3
20,40,0.76,1.0,0,3
20,40,0.78,1.0,0,3
20,38,0.72,1.0,0,3
20,38,0.74,1.0,0,3
15,46,0.8200000000000001,1.0,0,3
15,46,0.84,1.0,0,3
15,46,0.86,1.0,0,3
15,44,0.8,1.0,0,3
15,44,0.8200000000000001,1.0,0,3
15,44,0.84,1.0,0,3
15,44,0.86,1.0,0,3
15,42,0.78,1.0,0,3
15,42,0.8,1.0,0,3
15,42,0.8200000000000001,1.0,0,3
15,42,0.84,1.0,0,3
15,40,0.74,1.0,0,3
15,40,0.76,1.0,0,3
15,40,0.78,1.0,0,3
15,40,0.8,1.0,0,3
15,40,0.8200000000000001,1.0,0,3
15,38,0.72,1.0,0,3
15,38,0.74,1.0,0,3
15,38,0.76,1.0,0,3
15,38,0.78,1.0,0,3
15,36,0.72,1.0,0,3
10,48,0.86,1.0,0,3
10,48,0.88,1.0,0,3
10,46,0.86,1.0,0,3
10,44,0.84,1.0,0,3
10,44,0.86,1.0,0,3
10,42,0.8200000000000001,1.0,0,3
10,42,0.84,1.0,0,3
10,40,0.78,1.0,0,3
10,40,0.8,1.0,0,3
10,40,0.8200000000000001,1.0,0,3
10,38,0.74,1.0,0,3
10,38,0.76,1.0,0,3
10,38,0.78,1.0,0,3
10,36,0.72,1.0,0,3
5,48,0.88,1.0,0,3
5,42,0.84,1.0,0,3
5,40,0.8,1.0,0,3
5,38,0.78,1.0,0,3
25,42,0.72,1.0,0,4
20,48,0.8,1.0,0,4
20,46,0.78,1.0,0,4
20,46,0.8,1.0,0,4
20,42,0.74,1.0,0,4
20,40,0.7000000000000001,1.0,0,4
20,40,0.72,1.0,0,4
20,38,0.68,1.0,0,4
20,38,0.7000000000000001,1.0,0,4
15,56,0.88,1.0,0,4
15,54,0.86,1.0,0,4
15,54,0.88,1.0,0,4
15,52,0.84,1.0,0,4
15,52,0.86,1.0,0,4
15,52,0.88,1.0,0,4
15,50,0.84,1.0,0,4
15,50,0.86,1.0,0,4
15,48,0.8200000000000001,1.0,0,4
15,48,0.84,1.0,0,4
15,48,0.86,1.0,0,4
15,46,0.8,1.0,0,4
15,44,0.76,1.0,0,4
15,44,0.78,1.0,0,4
15,42,0.76,1.0,0,4
15,36,0.68,1.0,0,4
15,36,0.7000000000000001,1.0,0,4
10,52,0.88,1.0,0,4
10,50,0.88,1.0,0,4
10,46,0.8,1.0,0,4
10,46,0.8200000000000001,1.0,0,4
10,46,0.84,1.0,0,4
10,44,0.76,1.0,0,4
10,44,0.78,1.0,0,4
10,44,0.8,1.0,0,4
10,44,0.8200000000000001,1.0,0,4
10,42,0.74,1.0,0,4
10,42,0.76,1.0,0,4
10,42,0.78,1.0,0,4
10,42,0.8,1.0,0,4
10,40,0.74,1.0,0,4
10,40,0.76,1.0,0,4
10,38,0.72,1.0,0,4
10,36,0.7000000000000001,1.0,0,4
5,60,0.92,1.0,0,4
5,54,0.9,1.0,0,4
5,50,0.88,1.0,0,4
5,48,0.84,1.0,0,4
5,48,0.86,1.0,0,4
5,46,0.78,1.0,0,4
5,46,0.8,1.0,0,4
5,46,0.8200000000000001,1.0,0,4
5,46,0.84,1.0,0,4
5,46,0.86,1.0,0,4
5,44,0.76,1.0,0,4
5,44,0.78,1.0,0,4
5,44,0.8,1.0,0,4
5,44,0.8200000000000001,1.0,0,4
5,44,0.84,1.0,0,4
5,42,0.74,1.0,0,4
5,42,0.76,1.0,0,4
5,42,0.78,1.0,0,4
