epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.4816,5.04563,24.5452,0.00683,0.0001,0.01299,0,0,2.45123,14.3678,0.00318,0.00016,0.00016,0.00016
2,38.5325,4.87009,21.5706,0.00613,0,0,0,0,2.2308,8.22845,0.00309,0.000339991,0.000339991,0.000339991
3,46.8525,3.96359,9.43632,0.00466,0.08516,0.20779,0.06067,0.01721,1.72053,3.39155,0.0019,0.000519944,0.000519944,0.000519944
4,55.2492,3.25238,5.91921,0.00358,0.74503,0.16883,0.28383,0.09496,1.67384,3.03391,0.0018,0.000699829,0.000699829,0.000699829
5,63.9158,3.20422,3.96038,0.0035,0.67971,0.36364,0.45393,0.14561,1.63766,2.36743,0.00182,0.000879618,0.000879618,0.000879618
6,72.7792,3.28657,2.63061,0.00356,0.84461,0.353,0.49193,0.15363,1.59871,1.57665,0.00169,0.00105928,0.00105928,0.00105928
7,81.9124,3.05577,2.52869,0.00306,0.94399,0.21898,0.38778,0.11037,1.5965,1.72371,0.0017,0.00123879,0.00123879,0.00123879
8,90.8617,2.94425,2.05527,0.00313,0.73685,0.29102,0.42733,0.13143,1.60105,1.45885,0.00171,0.00141811,0.00141811,0.00141811
9,99.551,3.04234,1.66784,0.00325,0.55223,0.50649,0.51426,0.1942,1.52035,0.96434,0.00161,0.00159722,0.00159722,0.00159722
10,108.142,3.26153,1.70022,0.00357,0.68316,0.53247,0.63091,0.2068,1.50412,0.89491,0.00157,0.00177609,0.00177609,0.00177609
11,116.606,3.15781,1.74509,0.00348,0.7934,0.59848,0.72468,0.23989,1.49893,0.77624,0.00155,0.00195469,0.00195469,0.00195469
12,125.08,2.98096,1.46595,0.00326,0.80186,0.5974,0.7228,0.25575,1.54682,0.74527,0.0016,0.00199344,0.00199344,0.00199344
13,133.481,2.94743,1.63819,0.00307,0.70105,0.60911,0.60599,0.20688,1.68744,0.88564,0.00177,0.00199219,0.00199219,0.00199219
14,141.852,3.12798,1.84558,0.00315,0.66707,0.7013,0.65567,0.23088,1.49268,0.73805,0.0016,0.00199084,0.00199084,0.00199084
15,150.209,3.01444,1.7302,0.00319,0.68664,0.68303,0.66043,0.2323,1.50733,1.5737,0.00161,0.00198938,0.00198938,0.00198938
16,158.716,2.92796,1.42822,0.00312,0.68798,0.71429,0.64623,0.22791,1.47728,0.80248,0.00162,0.00198781,0.00198781,0.00198781
17,167.229,3.06792,1.68316,0.00328,0.66014,0.73158,0.70059,0.24638,1.49099,0.75029,0.00157,0.00198614,0.00198614,0.00198614
18,175.811,3.02421,1.76964,0.00309,0.75774,0.74026,0.73767,0.23908,1.65722,1.11074,0.00175,0.00198435,0.00198435,0.00198435
19,184.377,3.13462,1.72351,0.00317,0.74488,0.64465,0.67099,0.23938,1.52693,1.57216,0.00162,0.00198246,0.00198246,0.00198246
20,192.929,2.8035,1.25172,0.00305,0.71241,0.62338,0.62507,0.25652,1.46919,0.77886,0.00163,0.00198047,0.00198047,0.00198047
21,201.485,2.87966,1.40878,0.00309,0.74451,0.51948,0.56964,0.23365,1.53133,0.82997,0.00162,0.00197837,0.00197837,0.00197837
22,209.934,2.84572,1.31768,0.00314,0.70447,0.54545,0.59023,0.23659,1.46004,0.81032,0.00156,0.00197616,0.00197616,0.00197616
23,218.305,2.99707,1.64944,0.00298,0.66388,0.59002,0.65227,0.25267,1.39026,0.8017,0.00146,0.00197384,0.00197384,0.00197384
24,226.727,2.93709,1.16391,0.00306,0.70317,0.7013,0.69602,0.24222,1.63833,0.56958,0.00191,0.00197142,0.00197142,0.00197142
25,235.061,2.68373,1.28266,0.00288,0.77296,0.64935,0.67986,0.2464,1.56874,0.61065,0.00177,0.0019689,0.0019689,0.0019689
26,243.427,2.91138,1.17904,0.00311,0.70835,0.66238,0.71309,0.25959,1.47041,0.69325,0.00163,0.00196627,0.00196627,0.00196627
27,251.898,2.61463,1.08268,0.00275,0.79801,0.67532,0.78592,0.30477,1.47096,0.76208,0.00162,0.00196353,0.00196353,0.00196353
28,260.406,2.8536,1.19571,0.00306,0.84585,0.67532,0.81654,0.30968,1.48478,0.6372,0.00158,0.00196069,0.00196069,0.00196069
